Down;Data wydania wyroku;sygnatura akt;Nazwa i siedziba sˆdu, kt—ry wyda¸ wyrok;Oznaczenie stron oraz informacja o udziale w post«powaniu prokuratora lub organizacji spo¸ecznej - POWîD;Oznaczenie stron oraz informacja o udziale w post«powaniu prokuratora lub organizacji spo¸ecznej - POZWANI;Postanowienie wzorca umowy uznane za niedozwolone;Data dokonania wpisu;Uwagi (wszelkie wpisy dodatkowe);Branıa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;11 mar 02;Sygn. Akt. XVII Amc30/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;"Pow—d: Marcin Romejko; ";Pozwani: Andrzej Biruka i Lech Jerzy Pilecki, prowadzˆcy dzia¸alnoæ gospodarczˆ w ramach sp—¸ki cywilnej;"""W przypadku odstˆpienia od umowy przez kupujˆcego, sprzedajˆcy zwr—ci mu sum« dokonanych przedp¸at, bez rewaloryzacji i oprocentowania, pomniejszonˆ o 5% wartoæci mieszkania oraz kwoty rob—t dodatkowych i zamiennych""";11 cze 02;;NIERUCHOMOåCI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;27 lut 02;Sygn. Akt XVII Amc 27/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;"Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w; ";Pozwany: Biuro Poærednictwa Handlowo-Finansowego MeCom Sp. z o.o. w Szczecinie;"""Ze wzgl«du na to, ıe ærodki finansowe wniesione przez Klienta skradajˆcego rezygnacj« zosta¸y przeznaczone na zakup Produkt—w przyznawanych uczestnikom jego grupy na Aktach Asygnacyjnych, zwrot rat czystych wniesionych przez Klienta rezygnujˆcego, moıe nastˆpi dopiero wtedy, gdy cz¸onkowie tejıe grupy sp¸acˆ swoje Umowy do koÄca. MeCom przystˆpi do przekazywania Klientom, kt—rzy zrezygnowali z uczestnictwa w Systemie, wniesionych przez nich rat czystych pomniejszonych o koszty przewidziane w ust. 2 niniejszego paragrafu, po zakoÄczeniu planu ratalnego grupy, z uwzgl«dnieniem warunk—w okreælonych w & 18 niniejszej umowyÓ";23 sie 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;27 lut 02;Sygn. Akt XVII Amc 27/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w; Pozwany: Biuro Poærednictwa Handlowo-Finansowego MeCom Sp. z o.o. w Szczecinie;ãW okresie trzech miesi«cy po terminie zakoÄczenia planu ratalnego MeCom dokona ostatecznej likwidacji grupy. 2. Fundusze jakie ewentualnie pozostanˆ po likwidacji grupy zostanˆ przeznaczone na: a) pokrycie strat powsta¸ych w grupie z powod—w niezawinionych przez MeCom (np. niemoınoæ wyegzekwowania zaleg¸oæci p¸atniczych od Klient—w lub por«czycieli itp.). b) wyp¸at« rat czystych Klientom, kt—rym nie zosta¸ przydzielony Produkt, a kt—rzy zrezygnowali lub zostali wykluczeni, zgodnie z zasadami okreælonymi w & 16 i & 17 niniejszej umowy. 3 jeıeli b«dˆce w dyspozycji ærodki finansowe b«dˆ nie-wystarczajˆce do ca¸kowitego zaspokojenia wierzytelnoæci w powyıszej kolejnoæci p¸atnoæci, naleınoæci wyp¸acane b«dˆ proporcjonalnie do wysokoæci wp¸at kaıdego Klienta. 4. Jakiekolwiek zmniejszenie si« funduszu grupy, wy-wo¸ane przez zdarzenia nie uwzgl«dnione w tej Umowie, a niezaleıne od MeCom, b«dzie obciˆıa proporcjonalnie wszystkich Klient—w uczestnik—w danej grupy.Ó;23 sie 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;27 lut 02;Sygn. Akt XVII Amc 27/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwany: Biuro Poærednictwa Handlowo-Finansowego MeCom Sp. z o.o. w Szczecinie;"""W przypadku gdyby w danym miesiˆcu ærodki wniesione przez Klient—w uczestnik—w danej grupy nie wystarczy¸y na zakup jednego Produktu w—wczas zebrana kwota zostanie przeniesiona na nast«pny miesiˆc, zasilajˆc fundusz grupy w nast«pnym Akcie Asygnacyjnym. W przypadku, gdy w ciˆgu dw—ch kolejnych miesi«cy nie zostanie zebrany fundusz grupy, pozwalajˆcy na zakup jednego Produktu, MeCom jest upowaınione do przedterminowej likwidacji danej grupy lub podj«cia innych krok—w, kt—re pos¸uıˆ interesom grupy i umoıliwiˆ dalsze funkcjonowanie w Systemie Klientom, kt—rzy wype¸nili swoje zobowiˆzania terminowo"".";23 sie 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27 lut 02; Sygn. Akt XVII Amc 27/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;"Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w; ";Pozwany: Biuro Poærednictwa Handlowo-Finansowego MeCom Sp. z o.o. w Szczecinie;ãW przypadku rezygnacji Klienta MeCom zatrzyma op¸at« administracyjnˆ, a takıe op¸at« wst«pna, kt—ra w ıadnym wypadku nie podlega zwrotowi. Klient otrzyma wniesione przez siebie raty czyste. Od wp¸aconej sumy MeCom potrˆci z tytu¸u kary umownej 10 % wartoæci rat czystych wniesionych przez Klienta, ale nie mniej niı wysokoæ dw—ch rat czystych obowiˆzujˆcych dla danego Zestawu Asygnacyjnego, okreælonego na pierwszej stronie niniejszej Umowy.Ó;23 sie 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;27 lut 02; Sygn. Akt XVII Amc 27/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwany: Biuro Poærednictwa Handlowo-Finansowego MeCom Sp. z o.o. w Szczecinie;ãW sytuacjach nieprzewidzianych w niniejszej Umowie, decyzje podejmuje MeCom w formie zarzˆdzenia.Ó;23 sie 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;24 pa 01;Sygn. akt XVII Amc 3/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Iwona üukaszuk;" Pozwana: Mi«dzynarodowa Korporacja Gospodarcza ""InCo"" Sp. z o.o. z siedzibˆ w Tychach";ãKoszty administracyjne Ğ jest to op¸ata wyraıona procentowo w stosunku do wybranego zestawu kwotowego, okreælona na pierwszej stronie umowy, pobierana przez InCo na obs¸ug« i administracj« systemu miesi«cznie w postaci tzw. op¸aty administracyjnej lub w przypadkach zawartych w art. 15 i art. 16 og—lnych warunk—w umowy jednorazowo w pe¸nej wysokoæci. W przypadkach zawartych w Art. 15 i Art. 16 og—lnych warunk—w umowy wysokoæ tych koszt—w nie moıe by wyısza od sumy miesi«cznych rat podstawowych wp¸aconych przez Cz¸onka GrupyÓ;15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;16 sty 02;Sygn. akt XVII Amc 7/00;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Miejski Rzecznik Konsument—w w Radomiu;"Pozwana Ekologiczna Pralnia Chemiczna ""Frania"" Sp. z o.o. we Wroc¸awiu";"""w przypadku zagini«cia lub zniszczenia garderoby odszkodowanie dla klienta stanowi kwota odpowiadajˆca jej wartoæci, nie wi«cej jednak niı r—wnowartoæ 10-krotnej ceny za wykonanˆ us¸ug«""";15 pa 02;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;27 mar 02; Sygn. akt XVII Amc 41/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Federacja Konsument—w w Warszawie;Pozwany: Financial Partners Sp. z o.o. w Warszawie;"""uczestnik przejmuje na siebie ca¸oæ praw i zobowiˆzaÄ wynikajˆcych z niniejszej umowy""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;27 mar 02; Sygn. akt XVII Amc 41/01;Sˆd Okr«gowy w Warszawie - Sˆd Antymonopolowy;Pow—d: Federacja Konsument—w w Warszawie;Pozwany: Financial Partners Sp. z o.o. w Warszawie;"""nabycie towaru przez uczestnika nast«puje po ¸ˆcznym ziszczeniu si« nast«pujˆcych warunk—w Ğ po podpisaniu z Financial Partners umowy poıyczki w formie aktu notarialnego na kwot« r—wnˆ wartoæci wskazanego towaru pomniejszonˆ o sum« wp¸acanych przez uczestnika rat podstawowych""";15 pa 02;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
